BOTTOMLAYER
640,-0.5
(0.005,(-0.05 -0.08 0),-3.01619e-09)
(0.005,(-0.05 -0.075 0),-2.5801e-09)
(0.005,(-0.05 -0.07 0),-2.51631e-09)
(0.005,(-0.05 -0.065 0),-2.26938e-09)
(0.005,(-0.05 -0.06 0),-1.39339e-09)
(0.005,(-0.05 -0.055 0),-9.32901e-10)
(0.005,(-0.05 -0.05 0),-7.61667e-10)
(0.005,(-0.05 -0.045 0),-6.74524e-10)
(0.005,(-0.05 -0.04 0),-6.22753e-10)
(0.005,(-0.05 -0.035 0),-5.8915e-10)
(0.005,(-0.05 -0.03 0),-5.66211e-10)
(0.005,(-0.05 -0.025 0),-5.50157e-10)
(0.005,(-0.05 -0.02 0),-5.3891e-10)
(0.005,(-0.05 -0.015 0),-5.31257e-10)
(0.005,(-0.05 -0.01 0),-5.26486e-10)
(0.005,(-0.05 -0.005 0),-5.24192e-10)
(0.005,(-0.05 0 0),-5.24192e-10)
(0.005,(-0.05 0.005 0),-5.26486e-10)
(0.005,(-0.05 0.01 0),-5.31257e-10)
(0.005,(-0.05 0.015 0),-5.3891e-10)
(0.005,(-0.05 0.02 0),-5.50157e-10)
(0.005,(-0.05 0.025 0),-5.66211e-10)
(0.005,(-0.05 0.03 0),-5.8915e-10)
(0.005,(-0.05 0.035 0),-6.22753e-10)
(0.005,(-0.05 0.04 0),-6.74524e-10)
(0.005,(-0.05 0.045 0),-7.61667e-10)
(0.005,(-0.05 0.05 0),-9.32901e-10)
(0.005,(-0.05 0.055 0),-1.39339e-09)
(0.005,(-0.05 0.06 0),-2.26938e-09)
(0.005,(-0.05 0.065 0),-2.51631e-09)
(0.005,(-0.05 0.07 0),-2.5801e-09)
(0.005,(-0.05 0.075 0),-3.01619e-09)
(0.005,(-0.045 -0.08 0),-2.62647e-09)
(0.005,(-0.045 -0.075 0),-2.15472e-09)
(0.005,(-0.045 -0.07 0),-2.12322e-09)
(0.005,(-0.045 -0.065 0),-1.91367e-09)
(0.005,(-0.045 -0.06 0),-1.02562e-09)
(0.005,(-0.045 -0.055 0),-5.64183e-10)
(0.005,(-0.045 -0.05 0),-4.16817e-10)
(0.005,(-0.045 -0.045 0),-3.51854e-10)
(0.005,(-0.045 -0.04 0),-3.17151e-10)
(0.005,(-0.045 -0.035 0),-2.96276e-10)
(0.005,(-0.045 -0.03 0),-2.82784e-10)
(0.005,(-0.045 -0.025 0),-2.73707e-10)
(0.005,(-0.045 -0.02 0),-2.67525e-10)
(0.005,(-0.045 -0.015 0),-2.63401e-10)
(0.005,(-0.045 -0.01 0),-2.60862e-10)
(0.005,(-0.045 -0.005 0),-2.5965e-10)
(0.005,(-0.045 0 0),-2.5965e-10)
(0.005,(-0.045 0.005 0),-2.60862e-10)
(0.005,(-0.045 0.01 0),-2.63401e-10)
(0.005,(-0.045 0.015 0),-2.67525e-10)
(0.005,(-0.045 0.02 0),-2.73707e-10)
(0.005,(-0.045 0.025 0),-2.82784e-10)
(0.005,(-0.045 0.03 0),-2.96276e-10)
(0.005,(-0.045 0.035 0),-3.17151e-10)
(0.005,(-0.045 0.04 0),-3.51854e-10)
(0.005,(-0.045 0.045 0),-4.16817e-10)
(0.005,(-0.045 0.05 0),-5.64183e-10)
