BOTTOMLAYER
640,-0.5
(0.005,(-0.05 -0.08 0),-3.15455e-09)
(0.005,(-0.05 -0.075 0),-2.68722e-09)
(0.005,(-0.05 -0.07 0),-2.64509e-09)
(0.005,(-0.05 -0.065 0),-2.62173e-09)
(0.005,(-0.05 -0.06 0),-2.6081e-09)
(0.005,(-0.05 -0.055 0),-2.59862e-09)
(0.005,(-0.05 -0.05 0),-2.59116e-09)
(0.005,(-0.05 -0.045 0),-2.58464e-09)
(0.005,(-0.05 -0.04 0),-2.57829e-09)
(0.005,(-0.05 -0.035 0),-2.57133e-09)
(0.005,(-0.05 -0.03 0),-2.56261e-09)
(0.005,(-0.05 -0.025 0),-2.54962e-09)
(0.005,(-0.05 -0.02 0),-2.53138e-09)
(0.005,(-0.05 -0.015 0),-2.33255e-09)
(0.005,(-0.05 -0.01 0),-1.55932e-09)
(0.005,(-0.05 -0.005 0),-1.21106e-09)
(0.005,(-0.05 0 0),-1.21106e-09)
(0.005,(-0.05 0.005 0),-1.55932e-09)
(0.005,(-0.05 0.01 0),-2.33255e-09)
(0.005,(-0.05 0.015 0),-2.53138e-09)
(0.005,(-0.05 0.02 0),-2.54962e-09)
(0.005,(-0.05 0.025 0),-2.56261e-09)
(0.005,(-0.05 0.03 0),-2.57133e-09)
(0.005,(-0.05 0.035 0),-2.57829e-09)
(0.005,(-0.05 0.04 0),-2.58464e-09)
(0.005,(-0.05 0.045 0),-2.59116e-09)
(0.005,(-0.05 0.05 0),-2.59862e-09)
(0.005,(-0.05 0.055 0),-2.6081e-09)
(0.005,(-0.05 0.06 0),-2.62173e-09)
(0.005,(-0.05 0.065 0),-2.64509e-09)
(0.005,(-0.05 0.07 0),-2.68722e-09)
(0.005,(-0.05 0.075 0),-3.15455e-09)
(0.005,(-0.045 -0.08 0),-2.68954e-09)
(0.005,(-0.045 -0.075 0),-2.17674e-09)
(0.005,(-0.045 -0.07 0),-2.13426e-09)
(0.005,(-0.045 -0.065 0),-2.11229e-09)
(0.005,(-0.045 -0.06 0),-2.10104e-09)
(0.005,(-0.045 -0.055 0),-2.09437e-09)
(0.005,(-0.045 -0.05 0),-2.08993e-09)
(0.005,(-0.045 -0.045 0),-2.08665e-09)
(0.005,(-0.045 -0.04 0),-2.08404e-09)
(0.005,(-0.045 -0.035 0),-2.08184e-09)
(0.005,(-0.045 -0.03 0),-2.08002e-09)
(0.005,(-0.045 -0.025 0),-2.07871e-09)
(0.005,(-0.045 -0.02 0),-2.08635e-09)
(0.005,(-0.045 -0.015 0),-1.9126e-09)
(0.005,(-0.045 -0.01 0),-1.11739e-09)
(0.005,(-0.045 -0.005 0),-7.54113e-10)
(0.005,(-0.045 0 0),-7.54113e-10)
(0.005,(-0.045 0.005 0),-1.11739e-09)
(0.005,(-0.045 0.01 0),-1.9126e-09)
(0.005,(-0.045 0.015 0),-2.08635e-09)
(0.005,(-0.045 0.02 0),-2.07871e-09)
(0.005,(-0.045 0.025 0),-2.08002e-09)
(0.005,(-0.045 0.03 0),-2.08184e-09)
(0.005,(-0.045 0.035 0),-2.08404e-09)
(0.005,(-0.045 0.04 0),-2.08665e-09)
(0.005,(-0.045 0.045 0),-2.08993e-09)
(0.005,(-0.045 0.05 0),-2.09437e-09)
(0.005,(-0.045 0.055 0),-2.10104e-09)
(0.005,(-0.045 0.06 0),-2.11229e-09)
