BOTTOMLAYER
640,-0.5
(0.005,(-0.05 -0.08 0),-3.08858e-09)
(0.005,(-0.05 -0.075 0),-2.62968e-09)
(0.005,(-0.05 -0.07 0),-2.56911e-09)
(0.005,(-0.05 -0.065 0),-2.33528e-09)
(0.005,(-0.05 -0.06 0),-1.50031e-09)
(0.005,(-0.05 -0.055 0),-1.08101e-09)
(0.005,(-0.05 -0.05 0),-9.61307e-10)
(0.005,(-0.05 -0.045 0),-9.58062e-10)
(0.005,(-0.05 -0.04 0),-1.07072e-09)
(0.005,(-0.05 -0.035 0),-1.48027e-09)
(0.005,(-0.05 -0.03 0),-2.29935e-09)
(0.005,(-0.05 -0.025 0),-2.50973e-09)
(0.005,(-0.05 -0.02 0),-2.52968e-09)
(0.005,(-0.05 -0.015 0),-2.54308e-09)
(0.005,(-0.05 -0.01 0),-2.55114e-09)
(0.005,(-0.05 -0.005 0),-2.55651e-09)
(0.005,(-0.05 0 0),-2.56033e-09)
(0.005,(-0.05 0.005 0),-2.56325e-09)
(0.005,(-0.05 0.01 0),-2.5657e-09)
(0.005,(-0.05 0.015 0),-2.56795e-09)
(0.005,(-0.05 0.02 0),-2.57021e-09)
(0.005,(-0.05 0.025 0),-2.57264e-09)
(0.005,(-0.05 0.03 0),-2.57539e-09)
(0.005,(-0.05 0.035 0),-2.57859e-09)
(0.005,(-0.05 0.04 0),-2.58245e-09)
(0.005,(-0.05 0.045 0),-2.58721e-09)
(0.005,(-0.05 0.05 0),-2.59336e-09)
(0.005,(-0.05 0.055 0),-2.60177e-09)
(0.005,(-0.05 0.06 0),-2.61441e-09)
(0.005,(-0.05 0.065 0),-2.63669e-09)
(0.005,(-0.05 0.07 0),-2.6774e-09)
(0.005,(-0.05 0.075 0),-3.13564e-09)
(0.005,(-0.045 -0.08 0),-2.66255e-09)
(0.005,(-0.045 -0.075 0),-2.16819e-09)
(0.005,(-0.045 -0.07 0),-2.13614e-09)
(0.005,(-0.045 -0.065 0),-1.93206e-09)
(0.005,(-0.045 -0.06 0),-1.07167e-09)
(0.005,(-0.045 -0.055 0),-6.37591e-10)
(0.005,(-0.045 -0.05 0),-5.24805e-10)
(0.005,(-0.045 -0.045 0),-5.22448e-10)
(0.005,(-0.045 -0.04 0),-6.29936e-10)
(0.005,(-0.045 -0.035 0),-1.05575e-09)
(0.005,(-0.045 -0.03 0),-1.90117e-09)
(0.005,(-0.045 -0.025 0),-2.08203e-09)
(0.005,(-0.045 -0.02 0),-2.07175e-09)
(0.005,(-0.045 -0.015 0),-2.07172e-09)
(0.005,(-0.045 -0.01 0),-2.07242e-09)
(0.005,(-0.045 -0.005 0),-2.07353e-09)
(0.005,(-0.045 0 0),-2.07468e-09)
(0.005,(-0.045 0.005 0),-2.07575e-09)
(0.005,(-0.045 0.01 0),-2.07677e-09)
(0.005,(-0.045 0.015 0),-2.0778e-09)
(0.005,(-0.045 0.02 0),-2.0789e-09)
(0.005,(-0.045 0.025 0),-2.08013e-09)
(0.005,(-0.045 0.03 0),-2.08156e-09)
(0.005,(-0.045 0.035 0),-2.08331e-09)
(0.005,(-0.045 0.04 0),-2.08551e-09)
(0.005,(-0.045 0.045 0),-2.08843e-09)
(0.005,(-0.045 0.05 0),-2.09254e-09)
(0.005,(-0.045 0.055 0),-2.09891e-09)
(0.005,(-0.045 0.06 0),-2.10981e-09)
(0.005,(-0.045 0.065 0),-2.13132e-09)
(0.005,(-0.045 0.07 0),-2.17323e-09)
(0.005,(-0.045 0.075 0),-2.67769e-09)
(0.005,(-0.04 -0.08 0),-2.62699e-09)
(0.005,(-0.04 -0.075 0),-2.12904e-09)
(0.005,(-0.04 -0.07 0),-2.09437e-09)
(0.005,(-0.04 -0.065 0),-1.89272e-09)
(0.005,(-0.04 -0.06 0),-1.03981e-09)
(0.005,(-0.04 -0.055 0),-5.99529e-10)
(0.005,(-0.04 -0.05 0),-4.80833e-10)
(0.005,(-0.04 -0.045 0),-4.78234e-10)
(0.005,(-0.04 -0.04 0),-5.9108e-10)
(0.005,(-0.04 -0.035 0),-1.02241e-09)
(0.005,(-0.04 -0.03 0),-1.85946e-09)
(0.005,(-0.04 -0.025 0),-2.03599e-09)
(0.005,(-0.04 -0.02 0),-2.02488e-09)
(0.005,(-0.04 -0.015 0),-2.02609e-09)
(0.005,(-0.04 -0.01 0),-2.03041e-09)
(0.005,(-0.04 -0.005 0),-2.03409e-09)
(0.005,(-0.04 0 0),-2.0367e-09)
(0.005,(-0.04 0.005 0),-2.03835e-09)
(0.005,(-0.04 0.01 0),-2.03963e-09)
(0.005,(-0.04 0.015 0),-2.04078e-09)
(0.005,(-0.04 0.02 0),-2.04191e-09)
(0.005,(-0.04 0.025 0),-2.04313e-09)
(0.005,(-0.04 0.03 0),-2.04449e-09)
(0.005,(-0.04 0.035 0),-2.04609e-09)
(0.005,(-0.04 0.04 0),-2.04801e-09)
(0.005,(-0.04 0.045 0),-2.05035e-09)
(0.005,(-0.04 0.05 0),-2.05305e-09)
(0.005,(-0.04 0.055 0),-2.05702e-09)
(0.005,(-0.04 0.06 0),-2.06479e-09)
(0.005,(-0.04 0.065 0),-2.08626e-09)
(0.005,(-0.04 0.07 0),-2.13155e-09)
(0.005,(-0.04 0.075 0),-2.63724e-09)
(0.005,(-0.035 -0.08 0),-2.60852e-09)
(0.005,(-0.035 -0.075 0),-2.1093e-09)
(0.005,(-0.035 -0.07 0),-2.07329e-09)
(0.005,(-0.035 -0.065 0),-1.87236e-09)
(0.005,(-0.035 -0.06 0),-1.02313e-09)
(0.005,(-0.035 -0.055 0),-5.82432e-10)
(0.005,(-0.035 -0.05 0),-4.62007e-10)
(0.005,(-0.035 -0.045 0),-4.59096e-10)
(0.005,(-0.035 -0.04 0),-5.73015e-10)
(0.005,(-0.035 -0.035 0),-1.00417e-09)
(0.005,(-0.035 -0.03 0),-1.83719e-09)
(0.005,(-0.035 -0.025 0),-2.01207e-09)
